source_path	target_java_type	status	notes
src/OpenLogReplicator.cpp	io.github.arlowen.redoreplicator.RedoReplicator	pending	Translate application lifecycle
src/OpenLogReplicator.h	io.github.arlowen.redoreplicator.RedoReplicator	pending	Translate application lifecycle
src/StreamClient.cpp	-	excluded	Network stream client is out of scope
src/builder/Builder.cpp	io.github.arlowen.redoreplicator.output.Builder	pending	Translate native JSON construction
src/builder/Builder.h	io.github.arlowen.redoreplicator.output.Builder	pending	Translate native JSON construction
src/builder/BuilderJson.cpp	io.github.arlowen.redoreplicator.output.BuilderJson	pending	Translate native JSON construction
src/builder/BuilderJson.h	io.github.arlowen.redoreplicator.output.BuilderJson	pending	Translate native JSON construction
src/builder/BuilderProtobuf.cpp	-	excluded	Protobuf output is out of scope
src/builder/BuilderProtobuf.h	-	excluded	Protobuf output is out of scope
src/builder/SystemTransaction.cpp	io.github.arlowen.redoreplicator.schema.SystemTransaction	pending	Translate committed dictionary changes
src/builder/SystemTransaction.h	io.github.arlowen.redoreplicator.schema.SystemTransaction	pending	Translate committed dictionary changes
src/common/Attribute.h	io.github.arlowen.redoreplicator.redo.common.Attribute	translated	Translated and parity-tested transaction attribute mapping
src/common/Clock.h	io.github.arlowen.redoreplicator.runtime.ReplicatorClock	translated	Translated wall-clock contract
src/common/ClockHW.cpp	io.github.arlowen.redoreplicator.runtime.SystemClock	translated	Translated JDK wall-clock implementation
src/common/ClockHW.h	io.github.arlowen.redoreplicator.runtime.SystemClock	translated	Translated JDK wall-clock implementation
src/common/Ctx.cpp	io.github.arlowen.redoreplicator.runtime.RedoContext	pending	Translate redo domain model
src/common/Ctx.h	io.github.arlowen.redoreplicator.runtime.RedoContext	pending	Translate redo domain model
src/common/DbColumn.h	io.github.arlowen.redoreplicator.redo.common.DbColumn	pending	Translate redo domain model
src/common/DbIncarnation.h	io.github.arlowen.redoreplicator.redo.common.DbIncarnation	translated	Translated and parity-tested database incarnation identity
src/common/DbLob.cpp	io.github.arlowen.redoreplicator.redo.common.DbLob	pending	Translate redo domain model
src/common/DbLob.h	io.github.arlowen.redoreplicator.redo.common.DbLob	pending	Translate redo domain model
src/common/DbTable.cpp	io.github.arlowen.redoreplicator.redo.common.DbTable	pending	Translate redo domain model
src/common/DbTable.h	io.github.arlowen.redoreplicator.redo.common.DbTable	pending	Translate redo domain model
src/common/Format.h	io.github.arlowen.redoreplicator.output.Format	pending	Translate redo domain model
src/common/LobCtx.cpp	io.github.arlowen.redoreplicator.redo.common.LobCtx	pending	Translate redo domain model
src/common/LobCtx.h	io.github.arlowen.redoreplicator.redo.common.LobCtx	pending	Translate redo domain model
src/common/LobData.cpp	io.github.arlowen.redoreplicator.redo.common.LobData	pending	Translate redo domain model
src/common/LobData.h	io.github.arlowen.redoreplicator.redo.common.LobData	pending	Translate redo domain model
src/common/LobKey.cpp	io.github.arlowen.redoreplicator.redo.common.LobKey	pending	Translate redo domain model
src/common/LobKey.h	io.github.arlowen.redoreplicator.redo.common.LobKey	pending	Translate redo domain model
src/common/MemoryManager.cpp	io.github.arlowen.redoreplicator.transaction.TransactionSpillManager	pending	Translate transaction spill and cleanup behavior
src/common/MemoryManager.h	io.github.arlowen.redoreplicator.transaction.TransactionSpillManager	pending	Translate transaction spill and cleanup behavior
src/common/OraProtoBuf.pb.cpp	-	excluded	Protobuf output is out of scope
src/common/OraProtoBuf.pb.h	-	excluded	Protobuf output is out of scope
src/common/RedoLogRecord.h	io.github.arlowen.redoreplicator.redo.common.RedoLogRecord	translated	Translated record model and field traversal cursor with parity tests
src/common/Thread.cpp	io.github.arlowen.redoreplicator.runtime.ReplicatorTask	pending	Translate lifecycle and wakeup behavior using JDK threads
src/common/Thread.h	io.github.arlowen.redoreplicator.runtime.ReplicatorTask	pending	Translate lifecycle and wakeup contract using JDK threads
src/common/XmlCtx.cpp	io.github.arlowen.redoreplicator.redo.common.XmlCtx	pending	Translate redo domain model
src/common/XmlCtx.h	io.github.arlowen.redoreplicator.redo.common.XmlCtx	pending	Translate redo domain model
